Date,Close,Open,High,Low,Volume,Change_pct
24.6.2024,143.15,136,143.5,136,535200,5.30%
21.6.2024,135.95,136.75,138.65,135.7,646750,-0.91%
20.6.2024,137.2,137.6,138.4,135.4,292180,-0.72%
19.6.2024,138.2,136,138.55,135.8,274190,1.47%
18.6.2024,136.2,136.25,137.95,135.5,430330,0.11%
17.6.2024,136.05,133.8,137.45,133.8,313800,1.68%
14.6.2024,133.8,131.5,134.6,130.8,326460,0.64%
13.6.2024,132.95,134.05,135.8,132,243230,-1.52%
12.6.2024,135,134.5,136.15,131.05,378970,0.41%
11.6.2024,134.45,135,137.55,133.25,386670,0.34%
10.6.2024,134,134.95,135.25,132.4,231880,-0.63%
7.6.2024,134.85,132.5,137.7,131.95,374300,1.77%
6.6.2024,132.5,134.5,135,132.5,225200,-0.53%
5.6.2024,133.2,132.5,133.55,131.55,321200,0.60%
4.6.2024,132.4,133.5,135.2,132.05,458700,-1.38%
3.6.2024,134.25,131.5,135.7,131,523310,3.03%
31.5.2024,130.3,130.4,132.25,126.5,926450,0.00%
29.5.2024,130.3,142,143,129.5,1270000,-6.39%
28.5.2024,139.2,139.8,141.5,138.8,431780,-0.39%
27.5.2024,139.75,139.4,141.4,138.5,202270,0.25%
24.5.2024,139.4,141.1,141.9,137.25,375090,-1.93%
23.5.2024,142.15,145,145,140.7,444040,-1.97%
22.5.2024,145,142.65,148.95,141.5,620700,1.75%
21.5.2024,142.5,142.7,144,141.75,378600,-0.11%
20.5.2024,142.65,141,143.3,140.35,281550,1.10%
17.5.2024,141.1,142.2,142.65,140.6,214080,-1.26%
16.5.2024,142.9,140,144.35,139.9,482210,2.33%
15.5.2024,139.65,142.25,143,136.4,585310,-2.38%
14.5.2024,143.05,142,144.9,139,867010,1.56%
13.5.2024,140.85,131,142.2,131,946280,6.91%
10.5.2024,131.75,133,133.75,130.55,311160,0.19%
9.5.2024,131.5,132.6,134.3,130.3,248700,-0.23%
8.5.2024,131.8,128,134.85,127.6,901840,2.57%
7.5.2024,128.5,124.2,129.65,124.1,654080,3.55%
6.5.2024,124.1,120,126.4,119.65,695890,3.81%
2.5.2024,119.55,118.5,123.6,117.05,528880,0.89%
30.4.2024,118.5,118.2,119.65,117.75,244950,0.55%
29.4.2024,117.85,116,118.4,116,222910,1.46%
26.4.2024,116.15,115.6,116.8,114.9,176840,1.35%
25.4.2024,114.6,115.9,116.95,114.05,201050,-1.33%
24.4.2024,116.15,116,118.2,115.65,276870,0.35%
23.4.2024,115.75,116.3,117.75,115.05,364390,-0.43%
22.4.2024,116.25,113.25,116.35,113.25,285600,2.69%
19.4.2024,113.2,112,113.8,111.6,195120,0.44%
18.4.2024,112.7,113,113.8,111.15,338970,0.22%
17.4.2024,112.45,111.75,113.15,111.05,326580,0.81%
16.4.2024,111.55,115,115.3,111.4,445100,-3.42%
15.4.2024,115.5,117.3,119.45,115.5,317370,-2.53%
